"Int_no";"Rue_1";"Rue_2";"X";"Y"
1260;"Côte-des-Neiges / Laird";"Jean-Talon";293691,;5040609,
1262;"Acadie";"Crémazie inter. Sud";293282,;5043401,
1263;"Acadie";"Crémazie inter. Nord";293100,;5043486,
1264;"Acadie";"Crémazie bretelle Nord-Est";293133,;5043527,
1265;"Berri";"Gouin";291400,;5046172,
1266;"Berri";"Henri-Bourassa";291632,;5046076,
1267;"Chambord";"Henri-Bourassa";291939,;5046880,
1268;"Christophe-Colomb";"Gouin";291917,;5047093,
1269;"Christophe-Colomb";"Henri-Bourassa";292116,;5046981,
1270;"Georges-Baril";"Henri-Bourassa";291861,;5046731,
1271;"Gouin";"Hôpital de la Merci";290225,;5045267,
1272;"Gouin";"Lajeunesse";291443,;5046246,
1273;"Gouin";"Millen";291563,;5046386,
1274;"Gouin";"Saint-Hubert";291670,;5046540,
1275;"Gouin";"Saint-Laurent";291188,;5045731,
1276;"Gouin";"Tolhurst";290760,;5045384,
1277;"Gouin";"Waverly";290986,;5045537,
1278;"Henri-Bourassa";"Lajeunesse";291667,;5046159,
1279;"Henri-Bourassa";"Laverdure";291533,;5045805,
1280;"Henri-Bourassa";"Meilleur";291112,;5044842,
1281;"Henri-Bourassa";"Millen";291717,;5046324,
1282;"Henri-Bourassa";"Saint-Denis";291601,;5045990,
1283;"Henri-Bourassa";"Saint-Hubert";291750,;5046506,
1284;"Henri-Bourassa";"Saint-Laurent";291455,;5045616,
1285;"Henri-Bourassa";"Tanguay";291174,;5044968,
1286;"Henri-Bourassa";"Tolhurst";291259,;5045159,
1287;"Crémazie";"Papineau inter. Sud-Ouest";295258,;5046012,
1288;"Crémazie";"Papineau inter. Sud-Est";295359,;5046049,
1289;"Crémazie";"Papineau inter. Nord-Est";295318,;5046135,
1290;"Crémazie";"Papineau inter. Nord-Ouest";295210,;5046101,
1291;"Jacques-Casault";"Papineau";295123,;5046165,
1292;"Christophe-Colomb";"Crémazie inter. Nord";294673,;5045655,
1293;"Christophe-Colomb";"Crémazie inter. Sud";294699,;5045600,
1294;"Crémazie";"Lajeunesse inter. Nord";294011,;5045185,
1295;"Crémazie";"Lajeunesse inter. Sud";294049,;5045168,
1296;"Crémazie";"Saint-Denis inter. Nord";293937,;5045061,
1297;"Crémazie";"Saint-Denis inter. Sud";293978,;5045050,
1298;"Crémazie";"Saint-Hubert inter. Nord";294230,;5045487,
1299;"Crémazie";"Saint-Hubert inter. Sud";294275,;5045465,
1300;"Crémazie";"Saint-Laurent inter. Sud-Ouest";293739,;5044588,
1301;"Crémazie";"Saint-Laurent inter. Sud-Est";293792,;5044708,
1302;"Crémazie";"Saint-Laurent int. Nord-Ouest";293702,;5044613,
1303;"Crémazie";"Saint-Laurent inter. Nord-Est";293761,;5044740,
1304;"Crémazie";"Saint-Michel inter. Sud-Ouest";296481,;5046912,
1305;"Crémazie";"Saint-Michel inter. Nord-Est";296453,;5047009,
1306;"Crémazie";"Saint-Michel inter. Sud-Est";296516,;5046966,
1307;"Crémazie";"Saint-Michel inter. Nord-Ouest";296413,;5046951,
1308;"3 e Avenue";"Sherbrooke";303584,;5055426,
1309;"16 e Avenue";"Sherbrooke";303805,;5056343,
1310;"Sherbrooke";"Tricentenaire";303961,;5056988,
1311;"Robert-Chevalier";"Sherbrooke";304035,;5057292,
1312;"32 e Avenue";"Sherbrooke Est";304113,;5057616,
1313;"Saint-Jean-Baptiste";"Sherbrooke";303718,;5055987,
1314;"La Rousselière";"Sherbrooke";304404,;5058830,
1315;"36 e Avenue";"Sherbrooke";304170,;5057850,
1316;"40 e Avenue";"Sherbrooke";304252,;5058189,
1317;"53 e Avenue";"Sherbrooke";304482,;5059138,
1318;"81 e Avenue";"Sherbrooke";304977,;5061157,
1319;"91 e Avenue";"Sherbrooke";305493,;5061944,
1320;"Gouin";"Sherbrooke";305440,;5061908,
1321;"Sherbrooke";"15200 Est (Polyv. P.A.T.)";304856,;5060676,
1322;"Sherbrooke";"15400 Est (C.I.P.)";304917,;5060924,
1323;"Chatelain";"Rosemont";299967,;5048416,
1324;"1 ere Avenue";"Saint-Zotique";297475,;5045786,
1325;"La Rousselière";"Montigny";304829,;5058728,
1326;"René-Lévesque";"Saint-Jean-Baptiste";304766,;5055747,
1327;"3 e Avenue";"Notre-Dame";305368,;5055018,
1328;"8 e Avenue";"Notre-Dame";305499,;5055372,
1329;"16 e Avenue";"Notre-Dame";305596,;5055948,
1330;"26 e Avenue";"Notre-Dame";305623,;5056911,
1331;"32 e Avenue";"Notre-Dame";305472,;5057317,
1332;"43 e Avenue";"Notre-Dame";305279,;5058189,
1333;"53 e Avenue";"Notre-Dame";305263,;5058952,
1334;"57 e Avenue";"Notre-Dame";305316,;5059245,
1335;"81 e Avenue";"Notre-Dame";305622,;5061016,
1336;"Notre-Dame";"13926 Est (C.L.S.C.)";305237,;5058502,
1337;"Notre-Dame";"Saint-Jean-Baptiste";305560,;5055561,
1338;"18 e Avenue";"Provost";290698,;5033572,
1339;"Notre-Dame";"Tricentenaire";305739,;5056575,
1340;"Montigny";"Saint-Jean-Baptiste";304299,;5055856,
1341;"Allard";"Dumas";297168,;5034498,
1342;"Allard";"Laurendeau";297797,;5034620,
1343;"Allard";"Monk";297505,;5034586,
1344;"Biencourt";"Monk";297282,;5035433,
1345;"Eadie";"Jolicoeur";297715,;5035237,
1346;"Hadley";"Jacques-Hertel";297551,;5035519,
1347;"Hadley";"Jolicoeur";297533,;5035247,
1348;"Hamilton";"Jolicoeur";297175,;5035182,
1349;"Jacques-Hertel";"Monk";297252,;5035545,
1350;"Jogues";"Jolicoeur";296809,;5035091,
1351;"Jolicoeur";"Monk";297337,;5035224,
1352;"Monk";"Raudot";297589,;5034265,
1353;"Monk";"Springland";297421,;5034906,
1354;"17 e Avenue";"Crémazie inter. Sud";296771,;5047401,
1355;"17 e Avenue";"Crémazie inter. Nord";296730,;5047426,
1356;"17 e Avenue";"Jarry";296524,;5047542,
1357;"Argenson";"Centre";299206,;5037469,
1358;"Centre";"Charlevoix";299377,;5037617,
1359;"Centre";"Island";299757,;5037947,
1360;"Centre";"Laprairie";299654,;5037857,
1361;"Centre";"Shearer";299947,;5038110,
1362;"Charlevoix";"Grand Trunk";299500,;5037521,
1363;"Charlevoix";"Mullins";299557,;5037475,
1364;"Charlevoix";"Wellington";299985,;5037138,
1365;"1 ere Avenue";"Rosemont";298158,;5045330,
1366;"Congrégation";"Wellington";300234,;5037931,
1367;"Fortune";"Wellington";300179,;5037551,
1368;"Hibernia";"Mullins";299847,;5037693,
1369;"Liverpool";"Marguerite-B.(parc)/Wellington";300114,;5037390,
1370;"Berri";"Mont-Royal";298393,;5042787,
1371;"Gouin";"Poutrincourt";288669,;5044651,
1372;"6 e Avenue";"Henri-Bourassa Est";297472,;5053007,
1373;"Armand-Chaput";"Henri-Bourassa Est";302579,;5057360,
1374;"Armand-Bombardier";"Henri-Bourassa Est/Ray-Lawson";298444,;5053933,
1375;"Armand-Bombardier";"Maurice-Duplessis";297822,;5054623,
1376;"Armand-Bombardier";"Perras";297242,;5055400,
1377;"Marcil";"Monkland";295203,;5037312,
1378;"Henri-Bourassa Est";"Rivière-des-Prairies";300592,;5055964,
1379;"27 e Avenue";"Maurice-Duplessis";298112,;5054936,
1380;"André-Dumas";"Maurice-Duplessis";298328,;5055169,
1381;"Armand-Bombardier";"Blaise-Pascal";298029,;5054363,
1382;"Coloniale";"Sherbrooke";299410,;5041515,
1383;"Bélanger";"Sagard";296951,;5045542,
1384;"Docteur-Penfield";"McTavish";298668,;5040457,
1385;"Du Quesne";"Rosemont";300263,;5049054,
1386;"Beaubien";"Écores";297557,;5045303,
1387;"Saint-Alexandre";"Viger";299916,;5040324,
1388;"Laurentien";"Périnault";287863,;5042995,
1389;"Carlton";"Victoria";293890,;5039488,
1390;"Chambly";"Rachel";300273,;5045536,
1391;"Place d'Armes";"Saint-Jacques Est";300295,;5040558,
1392;"Côte-des-Neiges";"Goyer";294107,;5040344,
1393;"Écores";"Rosemont";297971,;5045027,
1394;"Garnier";"Jean-Talon";296313,;5045142,
1395;"Henri-Bourassa";"Marcelin-Wilson";290772,;5044063,
1396;"La Gauchetière";"Saint-Urbain";300044,;5040778,
1397;"Lajeunesse";"Prieur";291917,;5046056,
1398;"Millen";"Sauvé";292703,;5045913,
1399;"Saint-Antoine";"Vinet";298615,;5038558,
1400;"City Councillors";"Maisonneuve";299310,;5040644,
1401;"Notre-Dame";"Sortie Molson";301064,;5042107,
1402;"Cadillac";"Pierre-de-Coubertin";301750,;5048270,
1403;"Parc";"5305";296992,;5042369,
1404;"Guy";"Saint-Jacques";299331,;5039058,
1405;"Esplanade";"Henri-Bourassa";291323,;5045305,
1406;"Beausoleil";"Notre-Dame inter. Ouest";305538,;5060584,
1407;"La Rousselière";"Notre-Dame";305238,;5058630,
1408;"Mont-Royal";"Saint-Michel";299738,;5045409,
1409;"Beaubien";"Chabot";297338,;5044937,
1410;"Mill";"Oak";300743,;5038809,
1411;"Bellechasse";"Chabot";297594,;5044758,
1412;"Mont-Royal";"Parthenais";299234,;5044057,
1413;"Notre-Dame";"Raoul-Jobin / Sainte-Maria-Gor";305793,;5061722,
1414;"Atwater";"1588 Atwater  Forum Pepsi";298142,;5038870,
1415;"Legendre";"Marché-Central";292854,;5043730,
1416;"Atwater / Thomas-Keefer";"Saint-Patrick";299000,;5037560,
1417;"Angers";"Saint-Patrick";298115,;5036481,
1418;"Pullman";"Saint-Rémi";297251,;5037044,
1419;"Saint-Jacques";"Square Victoria Ouest";300049,;5040108,
1420;"Brébeuf";"Rachel";299101,;5043004,
1421;"18 e Avenue";"Saint-Joseph";299749,;5046025,
1422;"Docteur-Penfield";"Drummond";298456,;5040229,
1423;"Duke";"Ottawa";300325,;5039660,
1424;"9 e Avenue";"Beaubien";297976,;5045987,
1425;"Brébeuf";"Mont-Royal";298706,;5043264,
1426;"Alphonse-D.-Roy";"Sainte-Catherine";301460,;5044098,
1427;"Bonavista";"Côte-Saint-Luc";295731,;5038179,
1428;"13 e Avenue";"Saint-Zotique";297857,;5046405,
1429;"Bélanger";"Normanville";296430,;5044719,
1430;"Anvers";"Querbes";293990,;5043672,
1431;"Bloomfield";"Jarry";294178,;5043445,
1432;"Bloomfield";"Ogilvy";294963,;5043117,
1433;"Saint-Cuthbert";"Saint-Laurent";298769,;5041786,
1434;"Hochelaga";"Théodore";301416,;5046684,
1435;"Chabanel";"Esplanade";292847,;5044590,
1436;"Christophe-Colomb";"Jacques-Casault";294616,;5045782,
1437;"Champagneur";"Ogilvy";294938,;5043058,
1438;"6 e Avenue";"Saint-Zotique";297576,;5045948,
1439;"Lille";"Port-Royal";293820,;5047900,
1440;"Hôtel-de-Ville";"Mont-Royal";298192,;5042464,
1441;"Alphonse-D.-Roy";"Notre-Dame";301553,;5044058,
1442;"8 e Avenue";"Rosemont";298403,;5045730,
1443;"Normanville";"Saint-Zotique";296700,;5044549,
1444;"Côte-Saint-Luc";"Hampton/Heath";293905,;5037428,
1445;"Cavendish";"Chester";293421,;5036764,
1446;"René-Lévesque";"800 Face au Reine-Élizabeth";299471,;5040123,
1447;"Beauharnois";"Charles-de-la-Tour";292862,;5043261,
1448;"Jeanne-Mance";"Mont-Royal";297874,;5041960,
1449;"Jeanne-Mance";"Maisonneuve";299461,;5040919,
1450;"Côte-Sainte-Catherine";"Stirling";295550,;5040981,
1451;"Montigny";"Tricentenaire";304618,;5056844,
1452;"Jean-Talon";"Normanville";296154,;5044892,
1453;"86 e Avenue";"Antoine-Chaudillon/Notre-Dame";305698,;5061410,
1454;"Darlington";"Goyer";294603,;5041112,
1455;"Centre";"Ropery";299550,;5037767,
1456;"Centre";"Richmond";300064,;5038211,
1457;"Dickson";"Jumonville";300734,;5048297,
1458;"Chambord";"Fleury";292450,;5046659,
1459;"Saint-Urbain";"Sauvé";292237,;5045060,
1460;"19 e Avenue";"Jarry";296640,;5047726,
1461;"Pie-IX";"face au 8211";296676,;5048032,
1462;"Notre-Dame";"Place d'Armes/Saint-Sulpice";300373,;5040557,
1463;"Assomption";"Saules des";300304,;5048081,
1464;"Lorimier";"Port-Royal";293617,;5047558,
1465;"16 e Avenue";"Bellechasse";298585,;5046374,
1466;"Chabot";"Jean-Talon";296523,;5045471,
1467;"Lille";"Sauvé";293660,;5047997,
1468;"André-Grasset";"Émile-Journault";294223,;5046420,
1469;"Henri-Julien";"Legendre";293371,;5045159,
1470;"Lorimier";"Sauvé";293454,;5047654,
1471;"Charland";"Lorimier";293684,;5047518,
1472;"La Valinière";"Maurice-Duplessis";297528,;5054304,
1473;"6 e Avenue";"Maurice-Duplessis";296883,;5053799,
1474;"Normanville";"Rosemont";297476,;5044041,
1475;"Crémazie";"Henri-Julien inter. Sud";293899,;5044918,
1476;"Crémazie";"Henri-Julien inter. Nord";293871,;5044954,
1477;"Crémazie";"De Lorimier inter. Sud";295602,;5046227,
1478;"Square Victoria Est";"Viger";299879,;5040253,
1479;"Crémazie";"Jarry inter. Nord";295858,;5046480,
1480;"Crémazie";"Jarry inter. Sud";295727,;5046298,
1481;"24 e Avenue";"Crémazie";297063,;5047946,
1482;"Crémazie";"Pie-IX inter. Nord";296957,;5047781,
1483;"Crémazie";"Pie-IX inter. Sud";297059,;5047866,
1484;"19 e Avenue";"Crémazie inter. Sud";296882,;5047574,
1485;"19 e Avenue";"Crémazie inter. Nord";296837,;5047604,
1486;"Dickson";"1100";302692,;5047352,
1487;"Nazareth";"William";300176,;5039666,
1488;"17 e Avenue";"Jean-Talon";297407,;5047004,
1489;"Alexis-Carrel";"Maurice-Duplessis";298549,;5055409,
1490;"Crémazie";"Iberville inter. Nord";296003,;5046518,
1491;"Fernand-Gauthier";"Maurice-Duplessis";297346,;5054142,
1492;"Henri-Bourassa Est";"L.-J.-Forget";297915,;5053426,
1493;"Davidson";"Rachel/Saint-Michel";300142,;5045235,
1494;"Érables";"Rachel";299584,;5043721,
1495;"Aylmer";"Pins";298587,;5041048,
1496;"41 e Avenue";"Saint-Zotique";299030,;5048320,
1497;"Notre-Dame";"Saint-Georges (pl)";305572,;5057075,
1498;"Hutchison";"Prince-Arthur";298840,;5041101,
1499;"Damien-Gauthier";"Sherbrooke";304803,;5060459,
1500;"13 e Avenue";"Bellechasse";298449,;5046149,
1501;"Sherbrooke";"5300 Est (Village Olympique)";300718,;5047630,
1502;"Goyer";"Wilderton";294802,;5041423,
1503;"Castelnau";"Châteaubriand";295762,;5044570,
1504;"Bedford";"Wilderton";294706,;5041447,
1505;"Létourneux";"Rouen";301414,;5045972,
1506;"Garnier";"Sauvé";293192,;5047097,
1507;"Orléans";"Rachel";300416,;5045887,
1508;"Ontario";"Panet";300011,;5042559,
1510;"Atwater";"Lionel-Groulx";298617,;5038127,
1511;"Lucien-L'Allier";"Saint-Jacques";299476,;5039269,
1512;"19 e Avenue";"Bélanger";297836,;5046991,
1513;"15 e Avenue";"Saint-Joseph";299641,;5045825,
1514;"Iberville";"Logan";300976,;5043417,
1515;"Industriel";"Saint-Jean-Baptiste";303274,;5056089,
1516;"Laurier";"Parc Voie réversible";297315,;5042193,
1517;"Notre-Dame";"Gypsum";303956,;5049136,
1518;"Rosemont";"5689 (Hôp. Maisonneuve-R.)";300037,;5048570,
1519;"Maurice-Duplessis";"Pierre-Blanchet";296983,;5053873,
1520;"Papineau";"Rosemont";297669,;5044533,
1521;"Acadie";"Legendre";292805,;5043613,
1522;"Bedford";"Darlington";294534,;5041175,
1523;"Monkland";"Oxford";295161,;5037246,
1524;"Henri-Julien";"Jean-Talon";295776,;5044139,
1525;"Montgomery";"Sherbrooke";300139,;5044352,
1526;"Jean-d'Estrées";"Saint-Antoine";299508,;5039587,
1527;"McGill College";"Président-Kennedy";299040,;5040367,
1528;"Boyer";"Jean-Talon";296002,;5044647,
1529;"Industriel";"Tricentenaire";303491,;5057089,
1530;"Boyer";"Rosemont";297326,;5043806,
1531;"Clifton";"Sherbrooke";295510,;5036573,
1532;"Jean-Talon";"Lucerne";293500,;5040316,
1533;"40 e Avenue";"Henri-Bourassa inter.Sud";303921,;5058266,
1534;"40 e Avenue";"Henri-Bourassa inter.Nord";303866,;5058284,
1535;"31 e Avenue";"Rosemont";299395,;5047335,
1536;"Jean-d'Estrées";"Saint-Jacques";299631,;5039497,
1537;"Sherbrooke";"Yves-Thériault";304670,;5059905,
1538;"Futailles";"Tellier";303078,;5049380,
1539;"Tellier";"Société des Alcools du Québec";303114,;5049538,
1540;"Beauclerk";"Notre-Dame";303747,;5048798,
1541;"Fabre";"Mont-Royal";298871,;5043514,
1542;"Lachapelle";"Ranger";287745,;5043261,
1543;"Henri-Bourassa Est";"Saint-Jean-Baptiste";301976,;5056940,
1544;"Jarry";"Wiseman";294100,;5043260,
1545;"Irwin";"Trinitaires";296627,;5034137,
1546;"Lacroix";"Trinitaires";296871,;5034074,
1547;"Decelles";"Swail";295537,;5039696,
1548;"Bridge";"Chemin-des-Irlandais";301245,;5038562,
1549;"Saint-Laurent";"8845 (Ateliers Youville STCUM)";293574,;5044725,
1550;"Commune de la";"Mill";300661,;5039604,
1551;"Brennan/Commune";"Prince";300650,;5039571,
1552;"Industriel / Port-Royal";"Saint-Michel";294148,;5048454,
1553;"Beaumont";"Outremont";295312,;5042830,
1554;"Parc";"5305 Voie réversible";296998,;5042376,
1555;"Réal-Benoit";"Sherbrooke";304613,;5059677,
1556;"Saint-Patrick";"5870 (Sidbec-Dosco)";296748,;5035661,
1557;"Parc";"Rachel face monument";298172,;5041645,
1559;"Saint-Jean-Baptiste";"Autoroute 40 nord";302494,;5056547,
1561;"Beaubien";"François-Boivin";300169,;5050054,
1562;"Notre-Dame";"5378 Est (Vopak accès Est)";302886,;5046928,
1563;"Beaubien";"Pierre-Gadois";300288,;5050330,
1564;"Langelier";"Renty";300933,;5049438,
1565;"Bernard";"Parc Voie réversible";296557,;5042643,
1566;"La Gauchetière";"Montagne";299263,;5039554,
1567;"Parc";"Villeneuve Voie réversible";297579,;5042027,
1568;"Parc";"5647";296697,;5042555,
1569;"André-Laurendeau";"Rachel";299978,;5044771,
1570;"Sherbrooke";"Valois";300509,;5045629,
1571;"Dickson";"2150 (Clos Dickson)";302288,;5047503,
1572;"Laurentien";"12150";287645,;5043114,
1573;"Saint-Antoine";"Square Victoria Ouest";299961,;5040163,
1574;"Hôtel-de-Ville";"Saint-Antoine";300439,;5040988,
1575;"Coolbrook";"Vézina";293168,;5039034,
1576;"Radisson";"Radisson (Galeries d'Anjou)";301049,;5050169,
1577;"Grenet";"Louisbourg";288408,;5042879,
1578;"Pullman";"Sainte-Anne-de-Bellevue";294225,;5034548,
1579;"Cedar";"Pins";298128,;5040049,
1580;"André-Grasset";"Louvain";293551,;5046871,
1581;"Brébeuf";"Saint-Grégoire";297872,;5043817,
1582;"Hudson";"Linton";294865,;5040577,
1583;"Alexandre-DeSève";"Ontario";300080,;5042712,
1584;"Canora / Wilderton";"Jean-Talon";294467,;5041545,
1585;"Perras";"Rodolphe-Forget";298643,;5056610,
1586;"Joliette";"Rachel";300235,;5045447,
1587;"Notre-Dame";"6363 Est (Dépôt)";303255,;5048000,
1588;"Maurice-Duplessis";"Rodolphe-Forget";299096,;5056000,
1589;"Saint-Antoine";"Saint-François-Xavier";300176,;5040527,
1590;"Plamondon";"Westbury";293581,;5039206,
1591;"Acadie";"Arthur-Lismer";291630,;5043948,
1592;"Pie-IX";"Rachel";300510,;5046089,
1596;"Angrignon";"Autoroute 20";294908,;5034826,
1597;"Jean-Talon";"5400 Ouest (Wal-Mart)";292736,;5039268,
1598;"Buchan";"Paré";293164,;5039938,
1599;"Chabanel";"Meilleur";292681,;5044188,
1600;"Salaberry";"Bretelle est A-15";289071,;5044089,
1601;"Salaberry";"Bretelle ouest A-15";288950,;5043971,
1602;"Parc";"Bretelle Pins Ouest";298602,;5041354,
1603;"Acadie";"Place de l'Acadie";290817,;5043774,
1605;"Champlain";"Église de l'";298626,;5035933,
1609;"Beaubien";"Carignan/Saint-Zotique";299938,;5049524,
1610;"Notre-Dame";"3800 sortie ADM";302050,;5044949,
1611;"Pins";"Bretelle Parc Nord";298645,;5041238,
1615;"Parc";"30 m Sud de Duluth";298382,;5041507,
1618;"Charon";"Wellington";300202,;5037703,
1620;"Jean-Talon";"6565 Est (Canadian Tire)";299055,;5050421,
1621;"Queen-Mary";"face 3791 (stat. Oratoire St-J";295356,;5039238,
1622;"Dumesnil";"Langelier";299093,;5050184,
1623;"Boucherville";"Bretelle Sherbrooke (acc.BUS)";301991,;5050324,
1631;"Métropolitain Sud";"Viau";297480,;5048467,
1632;"Viau";"7500 centre d'achats Bonimart";297691,;5048348,
1633;"Jarry";"Lacordaire";297635,;5049312,
1634;"Lacordaire";"Métropolitain Sud";297908,;5049141,
1635;"Grandes-Prairies";"Langelier";296623,;5051791,
1636;"Langelier";"7150  face IGA";299413,;5050084,
1637;"Langelier";"7220 (Belle Province)";299336,;5050111,
1638;"Langelier";"7700 Centre opérationnel Est";298813,;5050321,
1639;"Jarry";"6205 Res. Émilien Gagnon";298231,;5050251,
1640;"Jean-Talon";"4290 Est (Métro)";297768,;5047564,
1641;"Cherrier";"Jacques-Bizard";275759,;5039027,
1642;"Gouin";"Jacques-Bizard";276275,;5038409,
1646;"Hector-Barsalou";"Notre-Dame";304014,;5049229,
1647;"Amos d'";"Pie-IX";293799,;5050503,
1648;"Sherbrooke";"7846 (face Fonteneau)";302011,;5050599,
1649;"Jean-Talon";"4305 Est (Maxi)";297830,;5047662,
1650;"Jean-Talon";"6800 Est (Bureau en Gros)";299128,;5050539,
1652;"Industriel";"Lacordaire";295734,;5051479,
1653;"Métropolitain";"Sortie Langelier";298860,;5050604,
1654;"Côte-Vertu";"Liesse Montée-de (Nord)";287640,;5038376,
1655;"Côte-Vertu";"Liesse Montée-de (Sud)";287754,;5038512,
1656;"Côte-Vertu";"3600 face Bazar";288499,;5039329,
1657;"Côte-Vertu";"Sainte-Croix";290738,;5041832,
1658;"Edouard-Laurin";"Marcel-Laurin";290184,;5041076,
1659;"Côte-Vertu";"Marcel-Laurin";290107,;5041144,
1660;"Marcel-Laurin";"Thimens";289725,;5041487,
1661;"Marcel-Laurin";"1605 Stationnement Wyeth";289550,;5041646,
1662;"Marcel-Laurin";"1757 Accès Maxi";289384,;5041794,
1663;"Henri-Bourassa";"Marcel-Laurin";288584,;5042496,
1664;"Henri-Bourassa";"5285 Buffet Crystal";288361,;5042322,
1665;"Henri-Bourassa";"Bois Franc (train de banlieu)";288139,;5042148,
1666;"Henri-Bourassa";"5700 Tyco";287906,;5041967,
1667;"Henri-Bourassa";"7900 quincaillerie Richelieu";285777,;5040398,
1668;"Douglas-B.-Floreani";"Henri-Bourassa";284677,;5039248,
1669;"Mentana";"Saint-Grégoire";297701,;5043556,
1670;"Alfred-Nobel";"Henri-Bourassa";284231,;5038749,
1671;"Lacordaire";"Léger";294685,;5052892,
1672;"Décarie";"1010 Terminus BUS";290447,;5041681,
1673;"Thimens";"Canadair Bombardier";289544,;5041286,
1674;"Thimens";"2405 Aréna";289104,;5040765,
1675;"Acadie";"Liban/Olivier-Berthelet";291435,;5043892,
1676;"Thimens";"Place Vertu";288535,;5040123,
1677;"Beaubien";"Langelier";300078,;5049841,
1678;"Décarie";"Jockeys des inter. Est";292816,;5039457,
1679;"2 e Avenue";"Jarry";296029,;5046757,
1680;"Thimens";"3000 garage STM";286347,;5040313,
1681;"Cavendish (int. Nord)";"Sortie A-40 dir. Ouest";289339,;5039354,
1682;"Cavendish (int.Sud)";"Sortie A-40 dir. Est";289591,;5039127,
1683;"Chauveau";"Dickson";301202,;5048070,
1684;"Elzéar-Soucy";"Sauvé";291832,;5043777,
1685;"Côte-des-Neiges";"Côte-Sainte-Catherine";294838,;5039866,
1686;"Normanville";"Villeray";295564,;5045268,
1687;"Bellechasse";"Normanville";297214,;5044210,
1688;"Gatineau";"Queen-Mary";295540,;5039532,
1689;"Hicmore";"4580 accès CN";289580,;5037046,
1690;"Berri";"Rachel";298764,;5042545,
1691;"Côte-de-Liesse";"5415 Aerated Home Furnishings";291507,;5040085,
1693;"Maurice-Duplessis";"Rivière-des-Prairies";300006,;5056764,
1696;"Beaver Hall";"Belmont";299723,;5040277,
1697;"3 e Avenue";"Masson";298871,;5045170,
1698;"Henri-Julien";"Rachel";298618,;5042320,
1699;"Marcel-Laurin";"Galerie St-Laurent St-Exupéry";289045,;5042092,
1700;"Molson";"Rachel";299988,;5044617,
1701;"Hochelaga";"Vimont";301545,;5047001,
1703;"Henri-Bourassa";"Léger";293945,;5051126,
1706;"Christophe-Colomb";"Mistral";294876,;5045482,
1707;"Henri-Bourassa";"6140 Wall-Mart";295734,;5052010,
1708;"Chabot";"Crémazie Est";295461,;5046143,
1709;"Barnabé-Larocque";"Papineau";294943,;5046291,
1710;"Gouin";"6750 Est";295293,;5054154,
1711;"Crémazie";"De Lorimier inter. Nord";295567,;5046267,
1715;"32 e Avenue";"Gameroff";277650,;5032742,
1716;"1 ere Avenue";"Sortie A-20 (int. Nord)";292003,;5033866,
1717;"Saint-Pierre";"Sortie A-20 (int. Sud)";293288,;5033644,
1719;"Gouin";"Sortie A-13 (int.Est) Pitfield";284476,;5040919,
1720;"Gouin";"Lalande";283065,;5040556,
1722;"Anselme-Lavigne";"Saint-Jean";277505,;5038693,
1723;"Saint-Charles";"3933 Accès Rona";276085,;5035772,
1724;"Champlain";"Hôpital Douglas";297542,;5033694,
1725;"Gaétan-Laberge";"Bretelle A-15";300072,;5036817,
1726;"Grey";"Sherbrooke";296485,;5037397,
1727;"LaSalle";"Hôpital Douglas";298611,;5033487,
1728;"Egan";"LaSalle";299490,;5034638,
1729;"Wellington";"3500 C.d'accueil Réal-Morel";299687,;5036578,
1730;"Galeries d'Anjou les";"Sortie Centre-d'achats / Halles";299673,;5050905,
1731;"Acadie";"Salaberry";289514,;5044555,
1732;"Bonbardier";"L-H-Lafontaine (dir.Nord)";298479,;5052382,
1733;"Montagne";"Wellington";300241,;5039093,
1734;"Larrey";"L-H-Lafontaine (dir.Nord)";297940,;5052633,
1735;"Ray-Lawson";"Voie service A-40 Ouest";300280,;5052779,
1736;"Halles Ouest des";"Jean-Talon";299290,;5050803,
1737;"Birnam";"Sauvé";291888,;5044077,
1738;"Chemin-des-Moulins";"Pierre-Dupuy int. Est";301357,;5038834,
1739;"L-H-Lafontaine (dir.Nord)";"Yves-Prévost";300963,;5050850,
1740;"Voie serv. A-40 Est";"Sortie A-40 Est";300240,;5052627,
1741;"Papineau";"Approche Nord  Pt J.-Cartier";300334,;5042778,
1742;"Roi-René";"Bretelle accès A-40";300320,;5052602,
1743;"Dickson";"Souligny";302133,;5047586,
1744;"Golf du";"Chemin de fer";298848,;5054229,
1745;"Parcours du";"Chemin de fer";299631,;5053475,
1750;"Henri-Bourassa Est";"Nicolas-Josselin";297621,;5053131,
1751;"Henri-Bourassa Est";"Louis-Hippolyte-La Fontaine";297343,;5052880,
1755;"Dollard";"Saint-Patrick";293396,;5033406,
1756;"Dollard";"Virage en U  Sud de St-Patrick";293485,;5033295,
1757;"Dollard";"Newman";294252,;5032303,
1758;"Champlain";"Dollard";295383,;5031296,
1759;"Bishop-Power";"Champlain";296300,;5032148,
1760;"Newman";"8600 Accès Blockbuster";294431,;5032394,
1761;"Lapierre";"Newman";295237,;5033287,
1762;"Newman";"7400 Accès Réno-Dépôt";295398,;5033426,
1763;"Léger";"Newman";295494,;5033503,
1764;"Newman";"Senkus";295862,;5033809,
1765;"Newman";"6767 Accès Loblaws";296369,;5034412,
1766;"Angrignon";"2221 Accès Canadian-Tire";296001,;5034348,
1767;"Angrignon";"2505 Accès Dépôt à neige";295783,;5034464,
