"Int_no";"Rue_1";"Rue_2";"X";"Y"
888;"Louvain";"Saint-Michel";294619,;5048128,
889;"Robert";"Saint-Michel inter. Nord";295548,;5047543,
890;"Robert";"Saint-Michel inter. Sud";295592,;5047516,
891;"Saint-Michel";"Sauvé";293989,;5048554,
892;"25 e Avenue";"Grandes-Prairies";295137,;5049300,
893;"26 e Avenue";"Bélanger";298142,;5047491,
894;"39 e Rue";"Pie-IX";295684,;5048657,
895;"43 e Rue";"Pie-IX";295476,;5048788,
896;"47 e Rue";"Pie-IX";295268,;5048920,
897;"Bélair";"Pie-IX";297884,;5047273,
898;"Bélanger";"Pie-IX";297983,;5047231,
899;"55 e Rue";"Pie-IX";294846,;5049185,
900;"Denis-Papin";"Pie-IX";295895,;5048522,
901;"Everett";"Pie-IX";297470,;5047532,
902;"Grandes-Prairies";"Pie-IX";295002,;5049087,
903;"Hérelle";"Pie-IX";296579,;5048093,
904;"Jarry";"Pie-IX";296790,;5047961,
905;"Jean-Rivard";"Pie-IX";296371,;5048225,
906;"Jean-Talon";"Pie-IX";297668,;5047407,
907;"Pie-IX";"Robert";296159,;5048358,
908;"Pie-IX";"Villeray";297237,;5047679,
909;"Assomption";"Métro";301138,;5047693,
910;"Assomption";"Sherbrooke";300819,;5047844,
911;"Baldwin";"Sherbrooke";302383,;5051481,
912;"Bossuet";"Sherbrooke";301125,;5048485,
913;"Cadillac";"Marseille";301538,;5048370,
914;"Cadillac";"Sherbrooke";301156,;5048551,
915;"Carignan";"Sherbrooke";301306,;5048900,
916;"Boucherville";"Curatteau (pl) inter. Est";301661,;5050478,
917;"Boucherville";"Curatteau (pl) inter. Ouest";301641,;5050401,
918;"Desautels";"Sherbrooke";301507,;5049383,
919;"Dickson";"Marseille";301359,;5047996,
920;"Dickson";"Sherbrooke";300977,;5048174,
921;"Dickson";"Turenne";300577,;5048371,
922;"Fletcher";"Sherbrooke";302725,;5052330,
923;"Granby";"Sherbrooke";301364,;5049037,
924;"Groseillers";"Radisson/Sherbrooke";301715,;5049885,
925;"Haig";"Sherbrooke";301582,;5049563,
